text,emotion
"Hey , you wanna see a movie tomorrow ?",happiness
Sounds like a good plan . What do you want to see ?,happiness
How about Legally Blonde .,neutral
"Ah , my girlfriend wanted to see that movie . I have to take her later so I don't want to watch it ahead of time . How about The Cube ?",neutral
Isn't that a scary movie ?,neutral
"How scary can it be ? Come on , it'll be fun .",neutral
Ok . I'll give it a try .,happiness
That's the spirit . I'll see you tomorrow after class .,happiness
Ok . See you tomorrow .,happiness
"Ann , it's terrible !",anger
What's up ?,neutral
"Look , this is a pimple !",neutral
"Oh , I think it is .",neutral
How come ?,neutral
I think it's because of your bad habits !,anger
"I have no bad habit . I sleep eight hours a day , never eat spicy food , clean the face twice a day and so on . I have done a lot .",neutral
"I know you have done a lot , but you always sleep very late . Sleeping eight hours a day doesn't mean it is healthy . Sleeping after 12 is hurtful to our body , and I think this is your problem .",neutral
I wasn't aware of that !,surprise
You should do better later .,neutral
What a great weekend that was !,happiness
My feelings exactly .,happiness
I really enjoy the beach in the summer .,happiness
I couldn't agree with you more .,happiness
We should come here more often .,happiness
You are absolutely right .,happiness
I'd like to come back next weekend .,happiness
That's exactly the way I feel .,happiness
"Oh , it's getting late . I've got to run . It was nice talking to you , karren .",happiness
"Thanks , Tim . Nice meeting you , too .",happiness
I guess we'll see each other around .,happiness
"Yeah , I hope so . Well , take it easy .",happiness
You too .,happiness
Haven't seen you for a long time,happiness
I've been away on a vacation .,happiness
I bet you had a wonderful time,happiness
"Yeah , beautiful sunshine , pleasant scenery and many new friends",happiness
Sounds great,happiness
"how was school today , Dominic ?",neutral
I hate school !,disgust
why ? What happened ?,surprise
I messed up my mid-term exam so badly today !,disgust
it's just one exam . Can you re-take the exam ?,neutral
"yes , but it's so humiliating ! I don't want my friends to know I failed !",disgust
why didn't you do a good job ?,neutral
"I don't know . I sat down in my seat , looked at my paper , and then my mind just went totally blank .",neutral
do you think you studied enough for the exam ?,neutral
no ...,neutral
what did you do last night ?,neutral
I watched TV .,neutral
did you study at all last night for your exam ?,neutral
"no , not really .",neutral
"I am sure if you had studied , you would have done well . When can you re-take your exam ?",neutral
tomorrow .,neutral
alright . Get out your books and I'll help you prepare .,neutral
My goodness ! She is thirty seconds faster than the world record in 5000 metres race .,surprise
"Excuse me , what did you say ?",surprise
A Chinese girl has broken the world record in the Olympic Games .,happiness
That's incredible . I can't believe it .,surprise
You have to . It is sure .,happiness
How amazing !,surprise
You look like a basket case .,neutral
I'm not surprised .,neutral
What's the problem ?,neutral
My brother in-law just dropped in from the states .,disgust
"Yeah , and ?",neutral
"I decided to put him up while he's here , big mistake !",disgust
Why ?,neutral
"He's lazy . I tried being a good host , but if you give him an inch , he'll take a mile .",disgust
I guess you think twice next time he comes .,neutral
You can say that again .,neutral
So how long has he here for ?,neutral
Two weeks . If he thinks I'll put up with his attitude that long he's got another thing coming .,neutral
"Well , I know you do the right thing .",neutral
What are you doing ?,neutral
What am I doing ? What am I doing ? Don ' t you know what day it is ?,neutral
Mumm . no .,neutral
It ' s only the day when the world ' s biggest sporting event is kicking off .,neutral
What ?,neutral
The World Cup ! The first match is today ! It ' s Mexico vs . South Africa ! It ' s going to be a really good match ! Both teams have a very strong offense and have skilled players . I think that South Africa,happiness
I have no idea what you ' re talking about . The only sporting event we watch at home is the Super Bowl .,surprise
"This is bigger than the Super Bowl , man ! Teams from 32 countries compete against each other every four years and fight to win that trophy . They first start in a group stage with bigger groups , each g",neutral
"Sounds interesting , but soccer doesn ' t really appeal to me .",neutral
"Are you kidding ? Over seven hundred million people watched the final match of the World Cup ! It ' s a very exciting and nerve wracking sport ! Each nation is cheering on their team , hoping they will bec",surprise
"All I know about soccer is that you can ' t use your hands and that players are always falling down , trying to get a free kick or penalty kick . It seems like a sissy sport to me !",disgust
"Whatever , I ' m going to go watch the opening match .",neutral
do you remember where you were for the terrorist attacks on 9-11 ?,neutral
"yes , I was in my apartment in Beijing . Where were you ?",neutral
I was at home with my parents in New York City .,neutral
really ? Did you see the hijacked planes crash into and destroy the twin towers ?,neutral
"I didn't see the crash itself , but I did see the smoke and everything afterwards from my parents ' apartment building .",neutral
that must have been horrible . Did you go out at all that day to see what was going on ?,neutral
"no , we decided to stay in our apartment . With all the buses out of service and the underground trains at a halt , many people had no choice but to walk home . It was utter chaos .",neutral
did you know anyone who worked in the World Trade Center ?,neutral
"yes , my uncle's firm had an office in one of the towers .",neutral
did he survive ?,neutral
"unfortunately , he wasn't able to evacuate in time . He ended up dying in the tower .",sadness
I'm sorry . That must have really been a nightmarish day for you and your family .,sadness
it was . The hijackers didn't have any respect for human life not even their own .,anger
terrorist acts are deliberate and deadly and can affect every walk of life .,neutral
Can I help you ?,neutral
"I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .",neutral
I'll certainly try to help you . What topic is your paper on ?,neutral
My paper is on the influence of television on children .,neutral
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,neutral
Thank you for you help .,happiness
Have you seen that house ?,happiness
"Yes , it looks interesting .",happiness
You're right . I love it very much .,happiness
It must be old .,neutral
At least more than 100 years old .,neutral
Let's enter it !,neutral
I can't open the door .,neutral
It must be locked .,neutral
Let me ask the old woman in that reception office .,neutral
She can't answer you .,neutral
She must be deaf .,neutral
It must be a haunted house . Are you frightened ?,neutral
Frightened ? You must be joking .,surprise
Where are you going this weekend ?,neutral
I have no idea . Maybe I will sleep for the whole day .,neutral
So boring ! Shall we go out for a picnic with my friends ?,happiness
Sounds interesting . Who are the other people ?,happiness
"Fred and David , my college class mates and Rachel .",happiness
Gorgeous ! What should I bring on that day ?,happiness
Your tent and enough food and water .,happiness
"You mean , we can do many other things after the picnic , right ?",happiness
"We can go fishing , chatting and camping .",happiness
What are we waiting for ? Come on !,happiness
Don't hurry . Wait for my call .,happiness
"It's a fine day today , isn't it ?",happiness
"Yes , it is . It ' s wonderful after the downpour .",happiness
How nice seeing the sun back again ! The air is so fresh .,happiness
I hope it stays nice like this for a long period of time .,neutral
"Well , the weather is so unpredictable this time of year .",neutral
You're right . We don't know what is going to be like tomorrow .,neutral
Look ! It looks as if it is going to rain .,surprise
The weatherman predicts a fine day today .,neutral
The weather is often quite different from the weather forecast .,neutral
Did you hear what happened to Mike in Accounts ?,neutral
No . What ?,neutral
He got arrested on Friday night and spent the night in jail .,neutral
"No . Really , what happened ?",surprise
"Well , it was all a big mistake , actually . He got home on Friday night really late , and apparently he'd been out drinking with some clients , so he was really drunk .",neutral
Was he out with the guys from the bank ?,neutral
"Yes , I think so .",neutral
"Oh , yeah , they always get really drunk .",neutral
"Well , anyway , he'd somehow lost his wallet and his house keys , so he couldn't get in . He lives alone , you know .",neutral
"Oh , really . I thought he lived with his wife .",surprise
"No , she left him last year .",neutral
"Oh , really ? Do you know why ?",surprise
"Hang on , let me finish telling you what happened . Where was I ?",neutral
He lost his wallet and keys .,neutral
"Oh yes , well , he tried to climb in through the bathroom window , but apparently he slipped and broke the glass with his foot . The neighbors heard him and thought a robbery was in progress , so they called the police .",neutral
"Oh , no .",neutral
"Yes . So when the cops arrived , they didn't believe his story",neutral
So then what happened ?,neutral
"Well , when he sobered up , he called someone from work to come and bail him out .",neutral
"Well , that's a bit of a tricky situation .",neutral
"Yes , I know .",neutral
Are you ready to go the concert ?,neutral
Yes . Should we go there by bus so we aren't late ?,neutral
"Actually , why don't we go there by bike ? We could get stuck in traffic if we travel by bus in rush hour .",happiness
"That's true . Cycling is good for our environment , too . Let me just get my helmet then .",happiness
Is your helmet comfortable ?,happiness
"Not really , but I liked the design , so I got it .",happiness
Maybe you should think about getting a round helmet ; they're better .,happiness
I'll think about it .,happiness
Is that your new bicycle ?,happiness
"Yes , my father gave it to me for my birthday . Do you like it ?",happiness
It's the newest 10 speed cycling mountain bike . These are really expensive !,happiness
Nothing but the best from my dad . I like everything about it except for the brakes . They are a bit sticky .,neutral
I can fix those for you . Is there anything else wrong with it ?,neutral
"Well , my saddle is too low for me . Do you know how to change the height ?",neutral
That's easy . It's important to have the saddle high enough so that your legs can extend fully when you are on your bicycle .,neutral
Is that why my knees have felt sore after every time I've ridden my bike ?,neutral
It's possible . Give me a minute and I can fix these for you and then we can go .,neutral
"Hey , Mary , can you cut that out ?",neutral
Cut what out I ' m not doing anything .,neutral
The tapping of your pen on your desk . It ' s driving me crazy .,anger
Fine ! By the way would you mind not slurping your coffee every time you have a cup !,anger
"I don ' t slurp my coffee . And plus , how can you hear it when you ' re shouting into your phone all the time ?",anger
You ' Ve got to be kidding me ! You ' re complaining about me talking on the phone when you go out for a cigarette break ten times a day to shoot the breeze ?,anger
"Look , we have a lot of accumulated anger from working in these conditions , and it ' s probably okay to let off steam once in a while . But , it ' s probably not a good idea to keep it up I ' m willing to forgive and forget and if you are .",neutral
Fine . Let's call a truce . I'll try to more considerate and to keep the noise down .,neutral
"Yeah , I ' ll try to do the same . So , I was wondering you wanna go out to dinner Friday night ?",neutral
How's your thesis going ?,neutral
"Don't mention it . The thesis due date is coming , but my thesis isn't even close to being done .",sadness
"I've finished the first draft , but the professor said it's poorly written . I have to rewrite it . it's so depressing .",sadness
"Don't worry . Anyway , you are better than me .",sadness
"Doris , I'm glad you're home . I'm terrified . I don't know what to do !",fear
What is it ? What happened ?,neutral
I think someone is stalking me .,fear
"No , it can't be . Really ? Who ?",surprise
"I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring . He just kept staring at me . He didn't stop .",fear
What did you do ?,neutral
"I didn't do anything . Finally , he left . But then I saw him again today . Outside the shoe store . Near the cafe . I went into a CD store and pretended I was looking at CD's . But then he came in too .",fear
Did he leave when you left ?,neutral
Yes . Then I noticed he was on the sidewalk behind me . He was following me .,neutral
He followed me all the way home !,fear
That's about five blocks . And around corners too . So he was definitely following you .,neutral
"Yes , he was . I'm not imagining it . Finally , just when I got home , I turned around and looked at him . He was just standing there . He didn't smile . He just stood there . It was so obvious . What should I do ? I'm so scared . Can I call the police ?",fear
"Actually , I don't think you can call the police . Not yet at least . He hasn't done anything . And probably the police will just ignore it . But if anything happens again , then maybe you should call .",neutral
Why can't I call the police now ? He was definitely following me !,fear
Of course you can call the police if you want . That's not what I mean . I'm just saying that they probably won't do anything .,neutral
I suppose . What can they do ? I don't even know who he is .,neutral
"Listen , Carol . Don't let this bother you too much . Probably it's nothing . Just keep your eyes open when you go out . If you see him a third time , and if he follows you again , then I think we should go to the police . But for now , just try not to worry .",neutral
Alright . And I won't go to that cafe for awhile .,neutral
"Jim , I heard you ' Ve bought a new computer .",happiness
"Yes . Look , it is on my desk .",happiness
"Your office looks different with a computer . By the way , is it difficult to use a computer ?",happiness
Not at all . It ' s a piece of cake .,neutral
A piece of cake ?,surprise
Yes . It ' s easy and convenient to use a computer . But it takes a long time to really master it .,happiness
Could you help me prepare for my presentation on Friday ?,neutral
I would love to help you prepare for your presentation .,happiness
I hate to ask you to do something like that .,neutral
This will not interfere with my work . I promise you that .,happiness
When could we get together ?,neutral
I could easily give you some time tomorrow night .,neutral
Would you like to meet me at the coffee house next door ?,happiness
"Yes , and could you write down anything you might be having trouble with ?",happiness
I'll come prepared .,happiness
Goodbye until then . I promise you that you'll do well after we meet .,happiness
"So , Emily , how was your day ?",neutral
I don't think you really want to hear about it .,sadness
It can't have been that bad . Go on and tell me about it .,neutral
"To be honest , it was horrible ! My manager is such a pain in the neck !",disgust
Why ? What happened ?,neutral
"Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me !",anger
That's not very fair . What did you do ?,neutral
"There wasn't really anything that I could do . There's always been a lot of bad blood between my manager and myself . If I had said anything , he would have fired me for sure .",disgust
Does he treat everyone in your department like this ?,neutral
"He treats everyone pretty badly , but the way he treats me really takes the cake !",anger
Do you have any idea why he treats you worse than the others ?,neutral
I really have no idea . All I know is that the thought of him really curls my hair !,anger
Is there anyone else you can talk to about it at your company ?,neutral
Not really . I'm hoping to live with it for a while until I get a promotion .,neutral
That's very sensible . It sounds like you have a good head on your shoulders .,neutral
"I try to be sensible about it , but it's not very easy . Sometimes you just have to grin and bear it .",neutral
"That's so true . When you have a taste for success , you can't let dishonest people like your manager get in the way .",neutral
Then I'll take them . How much ?,happiness
$ 120 . The small gift box is complementary .,happiness
Here is $ 150 . Keep the change .,happiness
Thank you ! Have a nice day !,happiness
You too . Bye .,happiness
"Hello , Helen .",neutral
"Hi , Steven .",neutral
How are you today ?,neutral
"I ' m very well , Thank you . And you ?",happiness
"I ' m fine , thanks . How is Tony ?",happiness
"He ' s fine , Thanks . How ' s Emma ?",happiness
"She ' s very well , too , Helen . Goodbye , Helen . Nice to see you .",happiness
"Nice to see you , too , Steven . Goodbye .",happiness
I have an idea for Christmas this year .,neutral
What is it ?,neutral
Let's not exchange any gifts at all .,happiness
You big scrooge !,happiness
Hear me out . We can pool the money and give it to a family who could really use it !,happiness
But you may have some trouble convincing the kids .,neutral
"Actual 1y , it was their idea first .",neutral
Now we know that they realize the real meaning of Christmas .,happiness
"Look , daddy is on again . Don't you think he is handsome ?",happiness
"To some extent , he is . And what do you think we move to a better place ? I can't see him clearly from here .",happiness
"The seats in the middle of this stadium are great , but they're already occupied by somebody else .",happiness
"Oh , thank you for pointing that out . By the way , have you been following NBA for this season ?",happiness
"Of course , tomorrow evening there will be a most exciting game .",neutral
Who plays who ?,neutral
"Rockets vs Lakers . Yao Ming , my idol , will appear in front of several hundred million of the worldwide audience .",neutral
It's amazing . And when did he begin to play in the NBA ?,neutral
In 2002 . And since then he has attracted more attention than ever .,neutral
I can't consider you as a little kid any more . I know he is very tall .,neutral
"Oh , you know something . He is 2 . 26 meters tall . But he is also nimble and skillful .",neutral
I also heard if a player has committed 5 fouls then he must be out of the game .,neutral
"Yes , what's worse is he can't take any further part in the game .",neutral
"That's really terrible . Oh , God , we forgot to cheer for Daddy .",neutral
"Never mind . After all he is not so attractive as Yao Ming , right ?",neutral
You are always so naughty .,neutral
"Is that you , Dave ? Oh , my gosh ! The backstabber who left us to work for the evil WebTracker !",happiness
"Yeah , yeah , yeah . Hi , Mary . How are you ?",happiness
I'm filthy rich ! Haven't you heard about the MicroPower deal ?,happiness
"Yeah , I guess I did . They're going to buy invoking ?",happiness
That's right . For seventy-five million . So how are you ?,happiness
I'm getting by OK . I heard MicroPower was going to make Zina president of their new invoking Internet division .,happiness
What should I get Uncle Teddy ?,neutral
You could get him a tie .,neutral
Are you kidding ? That's the stupidest gift one can buy . I don't want to get a tie .,surprise
Why not ?,neutral
Everybody gets men ties for Christmas . It's too boring . Everybody buys either ties or sweaters . I want a more unique gift .,neutral
