labels,text
4,Dear MacPro what is this? I'm just trying to awake you.  http://twitpic.com/67orb
3,Time for me to go to sleep! It's almost 1am. Night everyone! Happy mothers day to all the moms out there
5,@Alyssa_Milano Hey there  Thought i'd tweet you to say Hi..I have so much to write but theres no space in this little box hehe Damn
5,@nicolepenney That sucks! I'm going to be doing summer school.  Need to catch up on several units
4,@emzyjonas hey hey
5,my baby man is 4 years old a week today  he's growing up too fast.....
4,"@robbymacbeath safari 4 always works fine here, had no problems at all.. You need to love it Robby"
6,Rove  going to be cut short though to wash my hair so I can watch Family Guy and Harpers Island
6,@Cara_Jen LOL - I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi
3,had an okay day. but hanging out with brianna and saelina was good
5,i feel like watching a disney movie...too bad we dont have a vcr anymore
4,and now its raining
5,I ripped my favorite pair of jeans.
3,"On way to the wimbledon with @sweezle to watch star trek, IMAX baby"
5,@tanyaahedo - I know! It was drizzling all the way to work!  Hope it warms up this weekend....
3,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.
4,@aeversman  CALL ME
4,@NiaBassett she's just finished!  The Pretenders now. x
4,"#millsthemusical  @lauzzaa i hope you've listened to some of these songs, they are so funny :L. i still haven't heard about ticks  x"
4,@rockeye Well I *did* put in a good innings...sweared at the brother in law..was in fine form
6,@dougiemcfly Aint the UK fans your fav people!?
4,@wlauw  yea dongggg
3,just watched that  new T-mobile advert on Youtube.. i love it  &quot;hey jude!!!!!!&quot;
5,sad day!!!!! Love you Maï¿½ (8 years ago!)
5,"ok, son in bath, so gonna see if I can find some quick quotes.  Gonna miss ya'll this weekend. I'm already gettin sad"
4,2nd to last episode of jay leno  itll never be the same!  nite twitter
5,@nippysweety Thanks very much for the #ff @nippysweety ! My only one today
3,Figured out twitter for my phone
3,Going to bed! Happy mother's day for every mom here!
5,"Had some fun in the sun,, Im not seeing my tan yet though      I want chocolate!"
5,Im sad...there's a for sale sign in front of my house!!
4,@shradhac uh oh
6,@brycecurtis  really?! Ur getting rid of it! That's sad
5,@Doonytime I have no Minstrels   I might have to grab some from the petrol station before I head back to work.  They are delicious!
5,he wasn't there today   my free day from when the bell rang and wen it rang at the end was okayy..but after
4,@VRadio if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP
3,I be having a drink with Marc while Izzy is sleepin  woot woot!
4,at work......thinking about the rest of my finals...summer almost here
4,Excited for today! But still so much to do
3,"its a beautiful,albeit, windy at times, night in So No...."
4,"Well, #Evernote is giving away Wireless SD cards 4 fllwng thm on twitter &amp; tweeting abt #evernote_eyefi But US/CAN only  http://tr.im/mPxn"
5,Oh no... The sun's gone!
3,"Today in a Week, I am 18.. yiha"
5,"At Spring Awakening...cannot wait for it to start. Last time I'm here ever! Boo, sad times"
4,@coollike http://twitpic.com/4jg09 - looks exactly like I do when I get that GH guitar in my hand
6,had a very interesting day yesterday... wondering if today will be just as crazy. Hope not. Still diggin' Spartacus!.. aka: Mike-E!!!
3,"@Wookiesgirl I was thinking, &quot;I never see her tweet.&quot; Well, duh - if I don't follow you, I can't! Now I can."
5,missing @justbrad on his birthday
5,@ingek73 I'm on blip but can't get it to work on me iPhone
4,@TerrenceJ106 heyy terrence u should come to my school on May 29th for our talent show
4,@estMay89 been there!  need somewhere NEW
3,Oh snap... kinda nuts right now... @basedmagazine:  I've told at least 27  Thanks babes.
6,@MAVinBKK it feels like ages away! More than 5 months
5,wtf come i need this day to go by
5,saw a dead bird on my way to work!what a kind of day to start?! Poor little bird!
5,i miss oklahomaaaaa  listening to citizen cope til i pass out.
6,its after 12 an man is texting me telling me that he wants to come over.i say i'm tired..lol..da punk says he'll bring me redbull and KFC
6,@Maccah Red? wtf happened to dark blue + black stripes?
4,about to rehearse...starving!!!
4,Happy Mother's Day to all of the woman and the men who made them mothers.
6,"@linuxluver I read for pure escapism. Don't make me think, take me away  non-fiction tends not to achieve that, for some strange reason"
6,I had a dream about a pretty pretty beach and there was no beach when I woke up
4,Sending blessings out to @gailelaine
5,HES BACK!!!!! OH NOES!!!! have you missed me?  Work has been insane and the band has really taken off so i haven't had a moment to myself
4,@JennyGnow It is sad... I feel bad when I hear it. They look like mid 30's. It's like something u wld see on lifetime
